rank,junction_name,police_station,impact_score_norm,priority_tier,recommended_officers,peak_window,peak_window_pct,violation_count,night_ratio,weighted_violations,est_daily_minutes_recovered
1,BTP051 - Safina Plaza Junction,Shivajinagar,100.0,High,3,04:00–06:00,36.7,15449,71.6,23735.0,86.0
2,BTP082 - KR Market Junction,City Market,96.7,High,3,19:00–21:00,23.1,11538,47.0,20488.0,47.0
3,BTP044 - Sagar Theatre Junction,Upparpet,94.9,High,3,03:00–05:00,29.7,10549,65.2,17790.0,52.0
4,BTP040 - Elite Junction,Upparpet,93.6,High,3,03:00–05:00,29.3,10718,64.3,14697.0,42.0
5,BTP211 - Central Street Junction,Shivajinagar,85.2,High,3,04:00–06:00,25.5,5388,52.5,9810.5,25.0
6,BTP058 - Subbanna Junction,Upparpet,84.7,High,3,19:00–21:00,41.4,5189,37.1,9440.0,39.0
7,No Junction,HAL Old Airport,81.4,High,3,22:00–00:00,31.8,6548,57.2,7292.0,23.0
8,BTP057 - Anand Rao Junction,Upparpet,81.3,High,3,03:00–05:00,21.4,3935,46.7,8036.5,17.0
9,BTP027 - Modi Bridge Junction,Rajajinagar,79.5,High,2,01:00–03:00,24.6,4584,64.9,5432.5,13.0
10,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,79.3,High,2,04:00–06:00,32.1,3681,72.7,6630.5,21.0
11,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,78.6,High,2,18:00–20:00,23.1,2778,43.8,8004.5,18.0
12,BTP045 - Danvanthri Road Junction,Upparpet,77.4,High,2,04:00–06:00,22.7,3181,50.6,5915.0,13.0
13,BTP020 - Hosahalli Metro Station,Vijayanagara,76.8,High,2,22:00–00:00,29.0,4101,54.4,4276.5,12.0
14,No Junction,Kodigehalli,76.3,High,2,05:00–07:00,47.2,4817,53.4,5113.5,24.0
15,No Junction,Chikkajala,75.9,High,2,19:00–21:00,20.8,3036,27.7,7648.5,16.0
16,"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,73.5,High,2,04:00–06:00,22.3,2812,52.5,4024.5,9.0
17,BTP032 - Windsor Circle,High ground,71.4,High,2,21:00–23:00,38.5,2749,40.7,3153.5,12.0
18,No Junction,Malleshwaram,71.4,High,2,04:00–06:00,33.4,2809,70.0,4595.0,15.0
19,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,70.5,High,2,21:00–23:00,28.2,2474,38.4,3112.0,9.0
20,BTP038 - Mysore Bank Junction,Upparpet,70.4,High,2,03:00–05:00,28.7,2021,65.3,3715.0,11.0
21,BTP043 - Upparpet Junction,City Market,69.7,High,2,02:00–04:00,24.2,1786,65.6,3878.0,9.0
22,BTP104 - Medical College Circle,City Market,69.5,High,2,06:00–08:00,22.5,1508,40.1,4475.0,10.0
23,No Junction,K.R. Pura,69.1,High,2,18:00–20:00,40.3,2307,19.2,4143.0,16.0
24,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road,68.3,High,2,05:00–07:00,38.4,2272,52.6,2539.5,10.0
25,No Junction,Hebbala,68.0,High,2,22:00–00:00,23.4,2462,47.3,3359.0,8.0
26,BTP023 - Mahalaxmi Layout Entrance,Rajajinagar,67.7,High,2,04:00–06:00,41.2,1807,72.2,2921.5,12.0
27,BTP048 - Shanthala Junction,Chamarajpet,67.1,High,2,01:00–03:00,21.0,1593,47.1,3065.5,6.0
28,BTP042 - Minsk Square Junction (CTO),Shivajinagar,66.4,High,2,22:00–00:00,37.7,2044,50.7,2174.5,8.0
29,BTP108 - Tagore Park Junction,Basavanagudi,65.7,High,2,04:00–06:00,23.3,1801,48.4,2262.5,5.0
