merge_key,violation_count,weighted_violations,center_lat,center_lon,police_station,junction_name,night_count,night_ratio,zone_criticality,recurrence_rate,impact_score,impact_score_log,impact_score_norm,rank,priority_tier
BTP051 - Safina Plaza Junction,15449,23735.0,12.981212065557246,77.60869513989651,Shivajinagar,BTP051 - Safina Plaza Junction,11065,71.6,3,42.867,3052344.74,14.931420948063494,100.0,1,High
BTP082 - KR Market Junction,11538,20488.0,12.964423750642322,77.57724121294086,City Market,BTP082 - KR Market Junction,5419,47.0,3,32.015,1967769.96,14.492411967707591,96.7,2,High
BTP044 - Sagar Theatre Junction,10549,17790.0,12.974938996857006,77.57889570478889,Upparpet,BTP044 - Sagar Theatre Junction,6873,65.2,3,29.27,1562139.9,14.26156781017911,94.9,3,High
BTP040 - Elite Junction,10718,14697.0,12.976596713370032,77.5766021547117,Upparpet,BTP040 - Elite Junction,6896,64.3,3,29.739,1311222.25,14.086471038103237,93.6,4,High
BTP211 - Central Street Junction,5388,9810.5,12.983371022821446,77.60345435130863,Shivajinagar,BTP211 - Central Street Junction,2830,52.5,3,14.95,440000.92,12.994534369521286,85.2,5,High
BTP058 - Subbanna Junction,5189,9440.0,12.979021616597574,77.57866101486218,Upparpet,BTP058 - Subbanna Junction,1923,37.1,3,14.398,407751.36,12.918415308326718,84.7,6,High
HAL Old Airport_12.933_77.691,6548,7292.0,12.933513690293381,77.69101170360582,HAL Old Airport,No Junction,3743,57.2,2,18.169,264976.7,12.487400950484075,81.4,7,High
BTP057 - Anand Rao Junction,3935,8036.5,12.979395373087675,77.57438830726811,Upparpet,BTP057 - Anand Rao Junction,1838,46.7,3,10.918,263227.52,12.480777831225538,81.3,8,High
BTP027 - Modi Bridge Junction,4584,5432.5,12.998897494610551,77.54941567682627,Rajajinagar,BTP027 - Modi Bridge Junction,2973,64.9,3,12.719,207287.9,12.241868751404148,79.5,9,High
"BTP080 - NR Road, SP Road Junction",3681,6630.5,12.96439657572473,77.58316820553203,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",2676,72.7,3,10.214,203171.78,12.221812029020551,79.3,10,High
"BTP083 - AS Char Street, Mysore Road",2778,8004.5,12.966450044406306,77.57440287238298,Chamarajpet,"BTP083 - AS Char Street, Mysore Road",1217,43.8,3,7.708,185096.06,12.128635615129127,78.6,11,High
BTP045 - Danvanthri Road Junction,3181,5915.0,12.977065128575921,77.57478964140208,Upparpet,BTP045 - Danvanthri Road Junction,1610,50.6,3,8.826,156617.37,11.961567360895389,77.4,12,High
BTP020 - Hosahalli Metro Station,4101,4276.5,12.97414419858571,77.54529421309437,Vijayanagara,BTP020 - Hosahalli Metro Station,2231,54.4,3,11.379,145986.88,11.891278883546015,76.8,13,High
Kodigehalli_13.071_77.589,4817,5113.5,13.071128435056474,77.58804468737286,Kodigehalli,No Junction,2571,53.4,2,13.366,136694.08,11.825508030842688,76.3,14,High
Chikkajala_13.185_77.679,3036,7648.5,13.184516546992754,77.67975240714098,Chikkajala,No Junction,840,27.7,2,8.424,128861.93,11.76650456028917,75.9,15,High
"BTP001 - 10th Cross, Dr. Rajkumar Road",2812,4024.5,13.007811443262298,77.55465340067576,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",1475,52.5,3,7.802,94197.45,11.453159006076639,73.5,16,High
BTP032 - Windsor Circle,2749,3153.5,12.99308791268715,77.58818366254266,High ground,BTP032 - Windsor Circle,1118,40.7,3,7.628,72164.69,11.186720004177696,71.4,17,High
